"","Start","End","Init.Qty","Init.Pos","Max.Pos","End.Pos","Closing.Txn.Qty","Num.Txns","Max.Notional.Cost","Net.Trading.PL","MAE","MFE","Pct.Net.Trading.PL","Pct.MAE","Pct.MFE","tick.Net.Trading.PL","tick.MAE","tick.MFE","duration"
"1",2003-11-04,2004-08-26,1,1,26,0,-26,27,2271.00553902189,10.9173326519656,-73.6059673572784,74.3849535685184,0.0048072681745495,-0.0324111791418087,0.03275419292925,41.9897409690984,-7360.59673572784,7438.49535685184,25574400
"2",2004-11-11,2006-07-26,1,1,52,0,-52,53,5148.93346554716,257.756344251733,-52.1820313910932,440.488723718431,0.0500601427414914,-0.0101345320813051,0.0855495078089189,495.685277407179,-5218.20313910932,44048.8723718431,53740800
"3",2006-10-03,2007-12-31,1,1,38,0,-38,39,4616.63188829855,106.010575995483,-95.9705620566891,323.762562039151,0.0229627526214902,-0.0207880039775185,0.0701296031116905,278.975199988112,-9597.05620566891,32376.2562039151,39225600
"4",2009-06-23,2010-07-08,1,1,28,0,-28,29,2679.17574668817,-3.42642207224961,-122.629521911846,261.673585299331,-0.00127890903629041,-0.0457713616075515,0.097669436438724,-12.2372216866057,-12262.9521911846,26167.3585299331,32832000
"5",2010-11-16,2011-08-18,1,1,23,0,-23,24,2694.4974991639,-253.40330626696,-342.246520822278,112.874730982648,-0.0940447361133535,-0.127016826301927,0.0418908278881954,-1101.75350550852,-34224.6520822278,11287.4730982648,23760000
"6",2012-04-10,2015-09-04,1,1,91,0,-91,92,15330.3454297133,2024.9510831351,-42.3455030159671,3765.05364097583,0.132087766216301,-0.00276220149181329,0.245594834000179,2225.22097047813,-4234.55030159671,376505.364097583,107308800
"7",2015-12-10,2015-12-30,1,1,2,2,-2,2,405.614688925897,6.24529707410275,-4.18468092589725,9.18529907410274,0.0153971176207667,-0.0103168870362625,0.0226453807637643,312.264853705138,-418.468092589725,918.529907410274,1728000
