"","date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted","SMA.SMA200","SMA.SMA50","rsi.RSI_3","RSI_avg.RSI_3_4","DVO.DVO_2_126","longfilter","filterexit","longthreshold","thresholdexit","longentry"
"1",2003-01-02,68.658068915674,70.5512891286192,68.4185214101169,70.3735562959768,44516300,64.167168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2003-01-03,70.2499207682165,70.6131038015339,69.9330937167662,70.5899223332642,32222600,64.364456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2003-01-06,70.5049207828902,72.2435888587214,70.4508288871977,71.8340367069337,40984500,65.498863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2003-01-07,71.7876745431356,72.1508637583839,71.2467517225035,71.6563092834808,38640400,65.336769,NA,NA,89.1511064884585,NA,NA,NA,NA,NA,NA,NA
"5",2003-01-08,71.2467517225035,71.4013038596175,70.3581037868602,70.620832760687,38702200,64.392647,NA,NA,45.7626765707805,50.1934704565267,NA,NA,NA,NA,NA,NA
"6",2003-01-09,70.9531123212539,72.004040580423,70.6362914517346,71.7181247291369,34804900,65.393143,NA,NA,69.4197626996182,70.0461140617411,NA,NA,NA,NA,NA,NA
"7",2003-01-10,71.0535663807445,72.3595008365182,70.9376598121373,71.9113100708959,37768900,65.569336,NA,NA,72.5783951917972,72.7495217750248,NA,NA,NA,NA,NA,NA
"8",2003-01-13,72.2822282452973,72.5295054827489,71.432213514299,71.8881286026262,31649900,65.548172,NA,NA,71.2536768318297,71.645400982856,NA,NA,NA,NA,NA,NA
"9",2003-01-14,71.625398856058,72.5063240144792,71.4090328187706,72.1199533309611,30733000,65.759521,NA,NA,77.4325442064199,76.6794621105365,NA,NA,NA,NA,NA,NA
"10",2003-01-15,72.2822282452973,72.305409713567,71.0226621352526,71.4013038596176,33511800,65.104271,NA,NA,38.7262931839703,43.468525517514,NA,NA,NA,NA,NA,NA
"11",2003-01-16,71.4785764508384,71.8108552386639,70.6671956972264,71.107658276437,44812100,64.836548,NA,NA,29.6440562112897,34.9287181122512,NA,NA,NA,NA,NA,NA
