"","Start","End","Init.Qty","Init.Pos","Max.Pos","End.Pos","Closing.Txn.Qty","Num.Txns","Max.Notional.Cost","Net.Trading.PL","MAE","MFE","Pct.Net.Trading.PL","Pct.MAE","Pct.MFE","tick.Net.Trading.PL","tick.MAE","tick.MFE","duration"
"32",2005-10-25,2005-10-28,900,900,900,0,-900,2,90009.6801042012,60.1482990941295,-1217.97486284557,60.1482990941295,0.000668242560405701,-0.0135315986173439,0.000668242560405701,6.68314434379216,-121797.486284557,6014.82990941295,259200
"33",2005-10-31,2006-06-12,900,900,900,0,-900,2,90317.9294234106,3768.91593381292,0,10317.5828123486,0.0417294324379852,0,0.114236263809589,418.768437090325,0,1031758.28123486,19353600
"34",2006-06-16,2006-06-19,900,900,900,0,-900,2,95005.7531530748,-746.939563731619,-746.939563731619,0,-0.00786204560189253,-0.00786204560189253,0,-82.9932848590688,-74693.9563731619,0,259200
"35",2006-06-30,2006-07-14,900,900,900,0,-900,2,97010.2845751869,-2865.79876562752,-2865.79876562752,396.336709746785,-0.0295411850215367,-0.0295411850215367,0.004085512288541,-318.422085069725,-286579.876562752,39633.6709746785,1209600
"36",2006-07-20,2006-07-21,900,900,900,0,-900,2,95142.9455741993,-670.722314175902,-670.722314175902,0,-0.0070496273804433,-0.0070496273804433,0,-74.5247015751003,-67072.2314175902,0,86400
"37",2006-07-25,2007-08-06,900,900,900,0,-900,2,96537.7367133253,16947.8018359717,0,23824.7721075535,0.175556237518797,0,0.246792320999845,1883.08909288574,0,2382477.21075535,32572800
"38",2007-08-07,2007-08-15,900,900,900,0,-900,2,114696.379744868,-5223.71169011497,-5223.71169011497,1598.93284486659,-0.0455438236301326,-0.0455438236301326,0.0139405694270672,-580.412410012775,-522371.169011497,159893.284486659,691200
"39",2007-08-20,2007-08-21,900,900,900,0,-900,2,112266.926998265,225.088049315702,0,225.088049315702,0.00200493640766689,0,0.00200493640766689,25.0097832573002,0,22508.8049315702,86400
"40",2007-08-22,2007-08-29,900,900,900,0,-900,2,113827.048427275,-85.3807682668412,-2274.20708317638,1303.99154311736,-0.000750092086604458,-0.0199794962146401,0.0114559022757275,-9.48675202964902,-227420.708317638,130399.154311736,604800
"41",2007-08-30,2007-11-09,900,900,900,0,-900,2,113438.957554161,-249.508276391251,-279.426204823889,8594.14629219916,-0.00219949373452347,-0.00246322965979724,0.0757600958039125,-27.7231418212501,-27942.6204823889,859414.629219916,6134400
"42",2007-11-14,2007-11-16,900,900,900,0,-900,2,115162.504227861,-1466.14807810113,-1661.11405932208,0,-0.0127311236233644,-0.0144240876877372,0,-162.905342011237,-166111.405932208,0,172800
"43",2007-12-03,2007-12-05,900,900,900,0,-900,2,115170.298967791,881.250134438305,-1029.41414193519,881.250134438305,0.00765171352628652,-0.00893819110622512,0.00765171352628652,97.9166816042562,-102941.414193519,88125.0134438305,172800
"44",2007-12-06,2007-12-17,900,900,900,0,-900,2,117712.662381687,-4577.79733974821,-4577.79733974821,889.044874367552,-0.0388895913755188,-0.0388895913755188,0.00755266983499868,-508.644148860913,-457779.733974821,88904.4874367552,950400
"45",2007-12-24,2007-12-31,900,900,900,0,-900,2,116996.750334113,-2367.68014819734,-2367.68014819734,250.886417528076,-0.0202371445483387,-0.0202371445483387,0.00214438791514814,-263.075572021926,-236768.014819734,25088.6417528076,604800
"46",2008-05-07,2008-05-08,900,900,900,0,-900,2,109925.618814894,-283.638343168088,-283.638343168088,0,-0.00258027515538222,-0.00258027515538222,0,-31.5153714631209,-28363.8343168088,0,86400
"47",2008-05-16,2008-05-22,900,900,900,0,-900,2,112399.575474749,-2481.84259367913,-2497.59240056784,307.274083881144,-0.0220805335179997,-0.0222206568843219,0.00273376551987222,-275.76028818657,-249759.240056784,30727.4083881144,518400
"48",2009-06-01,2010-05-21,900,900,900,0,-900,2,76632.9266759767,13365.6686920705,-5104.9284603499,23841.1693858924,0.174411565260764,-0.0666153399299862,0.311108689437099,1485.07429911894,-510492.84603499,2384116.93858924,30585600
"49",2010-05-28,2010-06-01,900,900,900,0,-900,2,90213.0561377147,-1517.71399462811,-1517.71399462811,0,-0.0168236623345433,-0.0168236623345433,0,-168.634888292012,-151771.399462811,0,345600
"50",2010-06-03,2010-06-07,900,900,900,0,-900,2,91318.3421490199,-4305.68007986546,-4305.68007986546,0,-0.0471502217247783,-0.0471502217247783,0,-478.408897762829,-430568.007986546,0,345600
"51",2010-06-16,2010-06-23,900,900,900,0,-900,2,92349.3956104717,-1823.16193600772,-1823.16193600772,248.755833564821,-0.0197420018177248,-0.0197420018177248,0.00269363791631154,-202.573548445302,-182316.193600772,24875.5833564821,604800
"52",2010-07-27,2010-07-30,900,900,900,0,-900,2,92448.9733646273,-1060.82687062379,-1060.82687062379,0,-0.0114747285125578,-0.0114747285125578,0,-117.869652291532,-106082.687062379,0,259200
"53",2010-08-03,2010-08-12,900,900,900,0,-900,2,93004.2456693385,-2975.27723217457,-2975.27723217457,638.148186727019,-0.0319907678489505,-0.0319907678489505,0.00686149521599101,-330.586359130508,-297527.723217457,63814.8186727019,777600
"54",2010-09-13,2011-08-03,900,900,900,0,-900,2,93418.6292232531,13244.8543362685,-58.0128687809192,21349.617737983,0.141779583434219,-0.000620998929905933,0.22853704786185,1471.65048180761,-5801.28687809192,2134961.7737983,27993600
"55",2011-10-28,2011-11-01,900,900,900,0,-900,2,109280.265473498,-5608.47880369991,-5608.47880369991,0,-0.0513219727221477,-0.0513219727221477,0,-623.164311522212,-560847.880369991,0,345600
"56",2011-11-09,2011-11-10,900,900,900,0,-900,2,104657.521810979,985.728343031296,0,985.728343031296,0.00941860963239327,0,0.00941860963239327,109.525371447922,0,98572.8343031296,86400
"57",2011-11-14,2011-11-15,900,900,900,0,-900,2,106611.985671484,526.859170087162,0,526.859170087162,0.0049418380754171,0,0.0049418380754171,58.5399077874625,0,52685.9170087162,86400
"58",2011-12-06,2011-12-09,900,900,900,0,-900,2,107291.803215346,-178.45058630222,-1962.97004562432,399.392159070412,-0.00166322664876879,-0.0182956198590905,0.00372248528872973,-19.8278429224689,-196297.004562432,39939.2159070412,259200
"59",2011-12-12,2011-12-13,900,900,900,0,-900,2,105549.77474249,-985.728343031296,-985.728343031296,0,-0.00933899049463799,-0.00933899049463799,0,-109.525371447922,-98572.8343031296,0,86400
"60",2011-12-23,2012-11-15,900,900,900,0,-900,2,108083.431531443,9699.3910245422,-1334.04407210063,19037.124714132,0.0897398508458769,-0.0123427249967776,0.176133607569574,1077.71011383802,-133404.407210063,1903712.4714132,28339200
"61",2012-11-20,2014-06-27,900,900,900,900,-900,1,120812.024094099,55425.982205901,0,55533.977705901,0.458778690461559,0,0.459672603967353,6158.44246732234,0,5553397.7705901,50457600
