"","date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted","SMA.SMA200","Cl.gt.SMA","Cl.lt.SMA"
"1",1999-01-04,93.5420303917734,94.9399482725015,92.2862736514583,93.2814016343495,9450400,82.492058,NA,NA,NA
"2",1999-01-05,93.210321064143,94.6793195150777,93.210321064143,94.3476101874472,8031000,83.434944,NA,NA,NA
"3",1999-01-06,95.3901252171428,96.8591236680774,95.3427381703384,96.6221884340557,7737700,85.446434,NA,NA,NA
"4",1999-01-07,95.8166086383819,96.4563337702405,95.3664316937406,96.1483179660123,5504900,85.027359,NA,NA,NA
"5",1999-01-08,97.1908329957078,97.4277682297296,95.5085928341536,96.8591236680774,6224400,85.655952,NA,NA,NA
"6",1999-01-11,96.8117366212731,96.8117366212731,94.9399482725015,95.9350762553927,7578300,84.838799,NA,NA,NA
"7",1999-01-12,95.698141021371,95.698141021371,93.8263526725995,94.2054490470342,7768800,83.309219,NA,NA,NA
"8",1999-01-13,91.2911456685671,94.868867702295,91.2674521451649,93.5420303917734,10810600,82.722519,NA,NA,NA
"9",1999-01-14,93.7315785789908,93.9448202896103,91.6702420430018,91.9071772770236,11400700,81.276733,NA,NA,NA
"10",1999-01-15,92.7838376429039,94.6082389448711,92.5469024088822,94.3002231406429,7817700,83.393005,NA,NA,NA
"11",1999-01-19,94.9991820810069,95.2479640767298,93.6368044853821,94.9162547490994,6535100,83.937775,NA,NA,NA
"12",1999-01-20,95.6033669277623,97.0012848084905,94.7977871320885,95.6744474979688,6534400,84.608299,NA,NA,NA
"13",1999-01-21,95.2124237916265,95.413818740545,92.9496923067191,93.1392404939365,6937500,82.366333,NA,NA,NA
"14",1999-01-22,92.5942894556865,93.897433242806,92.3336606982626,92.9259987833169,7522300,82.177734,NA,NA,NA
"15",1999-01-25,93.4709498215669,94.0159008598168,92.4284347918713,93.8737397194038,5700300,83.015854,NA,NA,NA
"16",1999-01-26,94.1106749534255,95.5796734043602,93.7315785789908,95.5796734043602,6047000,84.524445,NA,NA,NA
"17",1999-01-27,95.8166086383819,96.0061568255992,94.1343684768277,94.4660778044581,7399400,83.53968,NA,NA,NA
"18",1999-01-28,94.9636417959037,96.2667855830231,94.9162547490994,96.0535438724036,5961700,84.943542,NA,NA,NA
"19",1999-01-29,96.5511078638492,97.2737603276154,95.0821094129146,96.7880430978709,6456800,85.593132,NA,NA,NA
"20",1999-02-01,97.5699293701426,97.5699293701426,96.2193985362188,96.2193985362188,9426800,85.090202,NA,NA,NA
"21",1999-02-02,96.3497129149307,96.4563337702405,94.5963921831701,95.6270604511645,9194500,84.566383,NA,NA,NA
"22",1999-02-03,95.2953511235341,97.0012848084905,95.2716576001319,96.5984949106535,10290700,85.425453,NA,NA,NA
"23",1999-02-04,96.5748013872514,96.66957548086,94.6082389448711,95.1531899831211,7761100,84.147278,NA,NA,NA
"24",1999-02-05,95.2716576001319,95.2716576001319,93.4235627747626,94.0632879066212,7516100,83.183456,NA,NA,NA
"25",1999-02-08,94.8451741788928,94.8451741788928,93.5183368683712,94.2528360938386,8528400,83.35112,NA,NA,NA
"26",1999-02-09,94.3002231406429,94.3949972342516,92.1322657493442,92.1441125110453,8985700,81.486328,NA,NA,NA
"27",1999-02-10,92.5942894556865,93.2577081109473,91.9901046089312,92.7364505960996,6936700,82.010132,NA,NA,NA
"28",1999-02-11,93.3050951577517,95.6033669277623,92.8786117365126,94.868867702295,9181800,83.895897,NA,NA,NA
"29",1999-02-12,94.6319324682733,95.1531899831211,92.9733858301213,93.7315785789908,10676600,82.89016,NA,NA,NA
"30",1999-02-16,94.5845454214689,95.2479640767298,93.1629340173387,93.1629340173387,6915500,82.387291,NA,NA,NA
"31",1999-02-17,93.3998692513604,95.0465691278113,92.6890635492952,93.06815992373,7858100,82.303482,NA,NA,NA
"32",1999-02-18,93.3998692513604,94.3002231406429,92.6653700258931,93.8026591491973,9048900,82.953033,NA,NA,NA
"33",1999-02-19,94.0159008598168,95.3427381703384,93.5420303917734,94.2054490470342,5312200,83.309219,NA,NA,NA
"34",1999-02-22,94.3476101874472,96.8354301446753,94.2291425704364,96.7169625276644,10695800,85.530212,NA,NA,NA
"35",1999-02-23,96.7406560510666,97.4277682297295,95.9824633021971,96.66957548086,7770700,85.488335,NA,NA,NA
"36",1999-02-24,96.9302042382839,97.6883969871534,94.7740936086863,94.9636417959037,7271000,83.979721,NA,NA,NA
"37",1999-02-25,94.4186907576538,94.9873353193059,93.0207728769256,94.0632879066212,11633000,83.183456,NA,NA,NA
"38",1999-02-26,94.5845454214689,94.6556259916755,93.1155469705343,93.6841915321864,9621300,82.848259,NA,NA,NA
"39",1999-03-01,93.755272102393,94.2528360938386,92.7838376429039,93.9448202896103,7607200,83.078728,NA,NA,NA
"40",1999-03-02,94.3949972342516,95.011028842708,92.7364505960996,93.1155469705343,9651500,82.34536,NA,NA,NA
"41",1999-03-03,93.3287886811539,93.6841915321864,92.3336606982626,93.6131109619799,7881400,82.785393,NA,NA,NA
"42",1999-03-04,94.0632879066212,95.14134322142,93.4591030598658,94.7977871320885,8256400,83.833076,NA,NA,NA
"43",1999-03-05,96.6695754808601,97.1434459489035,95.9587697787949,96.7051157659633,10703100,85.519714,NA,NA,NA
"44",1999-03-08,97.2619135659143,97.6528567020502,96.4800272936427,97.3329941361209,4802200,86.075005,NA,NA,NA
"45",1999-03-09,97.1434459489035,98.5176703062294,96.8591236680774,97.0960589020991,7893400,85.865494,NA,NA,NA
"46",1999-03-10,97.4040747063274,97.9964127913817,96.8828171914796,97.9490257445773,3950000,86.619804,NA,NA,NA
"47",1999-03-11,98.3281221190121,99.4654112423163,97.7120905105556,99.0389278210772,6583700,87.583656,NA,NA,NA
"48",1999-03-12,99.3232501019033,99.3469436253054,97.9727192679795,98.0911868849903,5286500,86.745522,NA,NA,NA
"49",1999-03-15,98.5176703062294,99.5127982891206,98.185960978599,99.4891047657185,5394400,87.98172,NA,NA,NA
"50",1999-03-16,99.418024195512,99.8208140933489,98.9204602040664,99.1100083912837,4547500,87.646477,NA,NA,NA
"51",1999-03-17,99.0863148678816,99.2758630550989,98.2807350722077,98.6835249700446,4524100,87.269302,NA,NA,NA
"52",1999-03-18,98.3992026892186,100.365765131599,98.3755091658164,100.27099103799,3506300,88.673195,NA,NA,NA
"53",1999-03-19,100.561703188919,100.799213116148,98.5666198001921,98.5666198001921,5526700,87.165924,NA,NA,NA
"54",1999-03-22,98.8516317128674,99.2553985891573,98.3647363620471,98.7566277419756,4603800,87.333977,NA,NA,NA
"55",1999-03-23,98.2816078875169,98.4478648365774,95.5383682280175,95.9065086152231,9713800,84.813515,NA,NA,NA
"56",1999-03-24,96.4052794624048,96.6546648859956,95.4789907462102,96.4527814478507,6280900,85.296608,NA,NA,NA
"57",1999-03-25,97.3315681785994,98.4241138438545,97.09405825137,98.4241138438545,6639600,87.03994,NA,NA,NA
"58",1999-03-26,97.7590860476122,98.1391019311793,97.070307258647,97.7115840621664,6159700,86.409805,NA,NA,NA
"59",1999-03-29,98.1628529239022,99.8966753926766,98.1628529239022,99.6829164581702,5863900,88.15313,NA,NA,NA
"60",1999-03-30,98.7566277419756,99.7304184436161,98.4716158293004,99.1603946182656,5401400,87.691025,NA,NA,NA
"61",1999-03-31,99.6829164581702,100.027305852653,97.5215761203829,97.5690781058287,7413600,86.283798,NA,NA,NA
"62",1999-04-01,98.5666198001921,98.5666198001921,97.3790701640452,98.3053588802398,7683600,86.934875,NA,NA,NA
"63",1999-04-05,99.5166595091096,100.775462123425,98.994137669205,100.632956167088,5791100,88.993286,NA,NA,NA
"64",1999-04-06,100.466699218027,101.072349532462,99.6829164581702,100.395446239858,5381300,88.783272,NA,NA,NA
"65",1999-04-07,100.846715101594,101.369236941499,99.8491734072308,101.202979992438,6248600,89.497391,NA,NA,NA
"66",1999-04-08,101.226730985161,102.556786577646,100.537952196196,102.485533599477,5909100,90.631584,NA,NA,NA
"67",1999-04-09,102.176770694079,102.984304446659,101.535493890559,102.5092845922,4365800,90.65258,NA,NA,NA
"68",1999-04-12,101.440489919668,103.673083235624,101.250481977884,103.601830257455,8213200,91.618736,NA,NA,NA
"69",1999-04-13,103.554328272009,103.72058522107,102.224272679525,102.936802461213,10071400,91.030663,NA,NA,NA
"70",1999-04-14,103.411822315671,103.411822315671,100.846715101594,101.202979992438,11551700,89.497391,NA,NA,NA
"71",1999-04-15,101.416738926945,101.511742897836,99.5641614945555,100.822964108871,11150000,89.161331,NA,NA,NA
"72",1999-04-16,101.012972050655,101.012972050655,99.7066674508931,99.9679283708455,6476200,88.405167,NA,NA,NA
"73",1999-04-19,100.846715101594,102.248023672247,97.5690781058287,98.4241138438545,12487200,87.03994,NA,NA,NA
"74",1999-04-20,98.6616237710839,99.7066674508931,98.0440979602875,99.6591654654473,9049600,88.132126,NA,NA,NA
"75",1999-04-21,99.6116634800014,103.07930841755,99.1128926328197,102.5092845922,5772200,90.65258,NA,NA,NA
"76",1999-04-22,102.699292533983,103.649332242901,102.141144204994,103.48307529384,6897400,91.513741,NA,NA,NA
"77",1999-04-23,103.269316359334,103.934344155576,102.604288563092,103.221814373888,4593100,91.282692,NA,NA,NA
"78",1999-04-26,103.744336213793,103.981846141022,102.960553453936,103.815589191961,3606500,91.807793,NA,NA,NA
"79",1999-04-27,104.219356068251,104.504367980927,103.245565366611,104.314360039143,5147200,92.248886,NA,NA,NA
"80",1999-04-28,103.696834228347,104.314360039143,102.604288563092,102.889300475767,5544300,90.98867,NA,NA,NA
"81",1999-04-29,103.031806432104,103.411822315671,101.70175083962,102.10551771591,9824300,90.295509,NA,NA,NA
"82",1999-04-30,102.67554154126,103.07930841755,99.9441773781225,101.274232970607,10991900,89.560371,NA,NA,NA
"83",1999-05-03,101.416738926945,103.245565366611,101.155478006992,103.126810402996,10709700,91.198692,NA,NA,NA
"84",1999-05-04,102.699292533983,103.221814373888,101.179228999715,101.654248854174,10509300,89.896439,NA,NA,NA
"85",1999-05-05,101.796754810512,102.651790548537,100.205438298075,102.461782606754,10032300,90.610619,NA,NA,NA
"86",1999-05-06,102.176770694079,102.699292533983,100.609205174365,101.832381299596,13507200,90.053986,NA,NA,NA
"87",1999-05-07,102.224272679525,102.699292533983,101.416738926945,102.604288563092,8680700,90.73661,NA,NA,NA
"88",1999-05-10,102.485533599477,103.150561395719,101.487991905113,102.093642219548,5580100,90.285019,NA,NA,NA
"89",1999-05-11,102.841798490321,104.029348126468,102.390529628585,103.126810402996,7000600,91.198692,NA,NA,NA
"90",1999-05-12,103.174312388442,104.29060904642,99.9441773781225,103.934344155576,13865800,91.912788,NA,NA,NA
"91",1999-05-13,104.314360039143,104.884383864494,103.981846141022,104.385613017312,4485700,92.311897,NA,NA,NA
"92",1999-05-14,102.27177466497,103.269316359334,101.464240912391,101.677999846897,8370100,89.917465,NA,NA,NA
"93",1999-05-17,101.559244883282,102.212397183163,100.609205174365,101.986762752295,6268100,90.190483,NA,NA,NA
"94",1999-05-18,102.248023672247,102.59241306673,100.799213116148,101.796754810512,8218600,90.022453,NA,NA,NA
"95",1999-05-19,102.200521686802,102.604288563092,101.274232970607,102.533035584923,5052400,90.673607,NA,NA,NA
"96",1999-05-20,102.699292533983,103.055557424827,101.891758781403,101.915509774126,4670400,90.127457,NA,NA,NA
"97",1999-05-21,101.939260766849,102.366778635862,100.775462123425,101.345485948776,6418200,89.62339,NA,NA,NA
"98",1999-05-24,101.725501832343,101.725501832343,99.1010171364582,99.6591654654473,7952000,88.132126,NA,NA,NA
"99",1999-05-25,99.8491734072308,100.585454181642,97.6165800912746,98.0440979602875,15406400,86.703888,NA,NA,NA
"100",1999-05-26,98.2816078875169,99.5641614945555,97.3553191713223,99.1366436255426,12575900,87.670052,NA,NA,NA
"101",1999-05-27,98.6853747638068,99.017888661928,97.2840661931535,97.7115840621664,14515400,86.409805,NA,NA,NA
"102",1999-05-28,98.0440979602875,99.374153552772,97.7353350548893,98.9585111801206,8748000,87.512512,NA,NA,NA
"103",1999-06-01,98.8991336983133,98.9228846910362,97.5690781058287,98.614121785638,6705300,87.207939,NA,NA,NA
"104",1999-06-02,98.614121785638,98.9466356837591,97.2959416895149,98.7091257565297,6981900,87.291985,NA,NA,NA
"105",1999-06-03,99.3266515673261,99.4691575236638,98.6378727783609,99.2553985891573,6076600,87.775032,NA,NA,NA
"106",1999-06-04,99.9204263853996,101.357361445137,99.5166595091096,101.250481977884,9787200,89.539375,NA,NA,NA
"107",1999-06-07,101.416738926945,101.986762752295,101.012972050655,101.511742897836,5299100,89.770416,NA,NA,NA
"108",1999-06-08,101.369236941499,101.689875343258,100.015430356291,100.514201203473,4895700,88.88826,NA,NA,NA
"109",1999-06-09,100.632956167088,101.155478006992,100.181687305352,100.419197232581,7409700,88.804276,NA,NA,NA
"110",1999-06-10,99.8966753926767,99.9204263853996,98.4953668220233,99.4929085163867,7040700,87.985077,NA,NA,NA
"111",1999-06-11,99.7304184436161,100.49045021075,98.1153509384563,98.6616237710839,12824800,87.249924,NA,NA,NA
"112",1999-06-14,99.3266515673261,99.374153552772,98.4597403329389,98.7566277419756,6823500,87.333977,NA,NA,NA
"113",1999-06-15,99.1603946182656,100.062932341737,98.8635072092289,99.4216555382179,5700900,87.922058,NA,NA,NA
"114",1999-06-16,100.609205174365,101.749252825066,100.609205174365,101.321734956053,7865800,89.602402,NA,NA,NA
"115",1999-06-17,100.989221057932,103.031806432104,100.799213116148,102.27177466497,8162800,90.442558,NA,NA,NA
"116",1999-06-18,102.199353677749,102.675807541048,101.675254428119,102.389935223069,2875100,90.547035,NA,NA,NA
"117",1999-06-21,102.509048688894,103.104616018018,101.889658666604,102.628162154718,4646400,90.757683,NA,NA,NA
"118",1999-06-22,102.151708291419,103.056970631688,101.770545200779,101.913481359769,5862400,90.125717,NA,NA,NA
"119",1999-06-23,101.38938211014,101.865835973439,100.72234670152,101.413204803305,9629200,89.683296,NA,NA,NA
"120",1999-06-24,101.29409133748,101.34173672381,99.6026801227665,100.650878622025,9176900,89.009132,NA,NA,NA
"121",1999-06-25,101.079687098995,101.401293456722,100.055311292901,100.400740343793,4087000,88.787895,NA,NA,NA
"122",1999-06-28,101.15115517849,101.865835973439,101.0082190195,101.627609041789,5028900,89.872902,NA,NA,NA
"123",1999-06-29,101.38938211014,103.056970631688,101.222623257985,102.580516768389,6956200,90.715584,NA,NA,NA
"124",1999-06-30,102.628162154718,104.819849925896,102.032594825594,104.438686835257,16856100,92.358795,NA,NA,NA
"125",1999-07-01,104.438686835257,105.582176107176,103.724006040307,105.224835709701,9939500,93.054024,NA,NA,NA
"126",1999-07-02,105.296303789196,106.344502288455,105.129544937041,106.27303420896,3772800,93.98101,NA,NA,NA
"127",1999-07-06,106.153920743135,107.297410015054,105.65364418667,106.249211515795,11221100,93.959938,NA,NA,NA
"128",1999-07-07,106.010984584145,106.51126114061,105.594087453758,106.392147674785,3230700,94.086319,NA,NA,NA
"129",1999-07-08,106.010984584145,107.202119242394,105.772757652495,106.475527100862,7101500,94.160019,NA,NA,NA
"130",1999-07-09,106.725665379094,107.178296549229,106.392147674785,107.106828469734,2976800,94.718346,NA,NA,NA
"131",1999-07-12,107.440346174044,107.440346174044,106.344502288455,106.630374606435,4436300,94.296997,NA,NA,NA
"132",1999-07-13,106.249211515795,106.666108646182,105.701289573,106.249211515795,6477600,93.959938,NA,NA,NA
"133",1999-07-14,106.725665379094,106.892424231249,105.772757652495,106.844778844919,4382500,94.486588,NA,NA,NA
"134",1999-07-15,107.321232708219,107.773863878353,106.963892310744,107.523725600121,3348600,95.087006,NA,NA,NA
"135",1999-07-16,107.678573105693,108.369431207478,107.297410015054,108.107381582663,2281500,95.60318,NA,NA,NA
"136",1999-07-19,108.393253900643,108.440899286973,107.154473856064,107.392700787714,4287000,94.971153,NA,NA,NA
"137",1999-07-20,106.820956151754,107.035360390239,104.843672619061,105.189101669953,7060100,93.02243,NA,NA,NA
"138",1999-07-21,105.272481096031,105.89187111832,104.676913766906,105.069988204129,4793700,92.917099,NA,NA,NA
"139",1999-07-22,104.772204539566,105.201013016536,103.271374870173,103.68827200056,7804100,91.69519,NA,NA,NA
"140",1999-07-23,104.176637210442,104.438686835257,103.009325245358,103.485779108658,4603000,91.516121,NA,NA,NA
"141",1999-07-26,102.818743700038,103.771651426637,102.628162154718,102.723452927378,4333400,90.841988,NA,NA,NA
"142",1999-07-27,103.676360653977,104.593534340829,103.199906790678,103.581069881318,5908500,91.600433,NA,NA,NA
"143",1999-07-28,103.866942199297,104.676913766906,103.366665642833,103.914587585627,3955500,91.895325,NA,NA,NA
"144",1999-07-29,102.866389086368,103.104616018018,101.627609041789,102.461403302564,7760600,90.610199,NA,NA,NA
"145",1999-07-30,102.771098313708,103.176084097513,101.05586440583,101.19880056482,5994300,89.493683,NA,NA,NA
"146",1999-08-02,101.19880056482,102.723452927378,101.0082190195,101.43702749647,6065500,89.704323,NA,NA,NA
"147",1999-08-03,101.937304052934,102.032594825594,100.150602065561,100.96057363317,5445400,89.282959,NA,NA,NA
"148",1999-08-04,101.174977871655,102.056417518759,99.4359212706116,99.5788574296015,6497900,88.061104,NA,NA,NA
"149",1999-08-05,99.7694389749213,100.579410542531,98.2209639191978,100.484119769871,10322000,88.861679,NA,NA,NA
"150",1999-08-06,100.031488599736,100.62705592886,98.7212404756623,99.3882758842817,7537700,87.892563,NA,NA,NA
"151",1999-08-09,99.5550347364365,100.472208423288,98.9118220209822,99.1738716457969,5565900,87.702942,NA,NA,NA
"152",1999-08-10,99.0071127936421,99.2215170321268,96.8154250224642,98.078027760208,9793300,86.733887,NA,NA,NA
"153",1999-08-11,98.8641766346522,99.5073893501066,98.054205067043,99.2691624184568,8003400,87.787216,NA,NA,NA
"154",1999-08-12,99.6265028159314,100.484119769871,99.030935486807,99.2096056855444,7036800,87.734566,NA,NA,NA
"155",1999-08-13,100.341183610881,101.57996365546,99.9600205202411,101.508495575965,5857700,89.767578,NA,NA,NA
"156",1999-08-16,101.4846728828,102.127885598254,100.81763747418,101.961126746099,3927000,90.167847,NA,NA,NA
"157",1999-08-17,102.485225995729,102.794921006873,101.4846728828,102.628162154718,4808000,90.757683,NA,NA,NA
"158",1999-08-18,102.306555796991,102.437580609399,101.57996365546,101.889658666604,4355500,90.104614,NA,NA,NA
"159",1999-08-19,100.91292824684,101.568052308877,100.388828997211,101.05586440583,6448100,89.367279,NA,NA,NA
"160",1999-08-20,101.43702749647,102.246999064079,101.15115517849,102.080240211924,3663700,90.27317,NA,NA,NA
"161",1999-08-23,102.771098313708,104.093257784365,102.651984847883,104.033701051452,5637800,92.000694,NA,NA,NA
"162",1999-08-24,103.724006040307,105.177190323371,103.199906790678,104.414864142092,9279500,92.337769,NA,NA,NA
"163",1999-08-25,104.581622994247,105.79658034566,103.795474119802,105.486885334516,6005300,93.285797,NA,NA,NA
"164",1999-08-26,105.415417255021,105.522619374263,104.057523744617,104.224282596772,4322300,92.169205,NA,NA,NA
"165",1999-08-27,104.343396062597,104.486332221587,102.961679859028,102.961679859028,6247400,91.05265,NA,NA,NA
"166",1999-08-30,103.176084097513,103.295197563338,100.62705592886,101.05586440583,4652000,89.367279,NA,NA,NA
"167",1999-08-31,101.34173672381,101.961126746099,99.7694389749213,100.67470131519,11453700,89.030197,NA,NA,NA
"168",1999-09-01,101.34173672381,101.949215399517,100.86528286051,101.913481359769,6863900,90.125717,NA,NA,NA
"169",1999-09-02,100.72234670152,101.139243831907,99.6026801227665,100.710435354938,10896300,89.06179,NA,NA,NA
"170",1999-09-03,102.818743700038,104.057523744617,102.675807541048,103.652537960812,9160800,91.663612,NA,NA,NA
"171",1999-09-07,103.724006040307,104.152814517277,103.080793324853,103.271374870173,4560800,91.326508,NA,NA,NA
"172",1999-09-08,102.794921006873,103.724006040307,102.175530984584,102.771098313708,6159600,90.884117,NA,NA,NA
"173",1999-09-09,102.723452927378,103.104616018018,101.913481359769,102.723452927378,6177800,90.841988,NA,NA,NA
"174",1999-09-10,103.866942199297,103.950321625375,102.866389086368,103.581069881318,2934500,91.600433,NA,NA,NA
"175",1999-09-13,103.009325245358,103.271374870173,102.532871382059,102.878300432951,2320500,90.97892,NA,NA,NA
"176",1999-09-14,102.199353677749,102.580516768389,101.675254428119,102.199353677749,3736000,90.378487,NA,NA,NA
"177",1999-09-15,103.247552177008,103.247552177008,100.531765156201,100.579410542531,6984500,88.945892,NA,NA,NA
"178",1999-09-16,101.0082190195,101.24644595115,99.3406304979517,100.972484979753,15377600,89.293518,NA,NA,NA
"179",1999-09-17,101.388262860721,102.391633982339,101.029916031571,102.24829525068,8542300,90.421799,NA,NA,NA
"180",1999-09-20,102.391633982339,102.439413559559,101.74660968987,102.10495651902,2803900,90.294998,NA,NA,NA
"181",1999-09-21,101.101585397401,101.268813917671,99.5009695605328,99.9548755441222,9335200,88.393654,NA,NA,NA
"182",1999-09-22,100.337112161882,100.791018145471,99.1904023086032,99.8473714953774,13009100,88.298553,NA,NA,NA
"183",1999-09-23,100.767128356861,100.767128356861,97.5658966831251,97.7570149920048,12204100,86.449989,NA,NA,NA
"184",1999-09-24,97.6614558375649,98.1392516097644,96.5625255615062,97.6614558375649,13792900,86.365486,NA,NA,NA
"185",1999-09-27,98.425929073084,99.1904023086031,98.0675822439345,98.3064801300342,6970300,86.935898,NA,NA,NA
"186",1999-09-28,97.8047945692248,98.473708650304,95.9891706348669,98.1153618211544,11063400,86.766907,NA,NA,NA
"187",1999-09-29,98.1870311869843,98.7126065364037,96.8969826020459,96.9447621792658,7580300,85.731674,NA,NA,NA
"188",1999-09-30,97.4225579514652,98.9515044225034,97.0642111223157,98.425929073084,7498900,87.041512,NA,NA,NA
"189",1999-10-01,97.8047945692248,98.2825903414242,96.801423447606,98.2109209755943,11127100,86.851387,NA,NA,NA
"190",1999-10-04,98.7603861136237,100.050434698562,98.425929073084,99.9548755441222,6341600,88.393654,NA,NA,NA
"191",1999-10-05,99.9309857555123,100.886577299911,98.3781494958641,99.8593163896824,11976000,88.309143,NA,NA,NA
"192",1999-10-06,99.9548755441222,101.53160159238,99.9070959669023,101.388262860721,10308200,89.661217,NA,NA,NA
"193",1999-10-07,101.567436275295,101.67494032404,100.528230470762,100.814907934081,6535600,89.154205,NA,NA,NA
"194",1999-10-08,100.719348779641,102.343854405119,100.325167267577,102.343854405119,9674300,90.506271,NA,NA,NA
"195",1999-10-11,102.12884630763,102.534972713999,101.91383821014,102.17662588485,4282000,90.358368,NA,NA,NA
"196",1999-10-12,101.77049947848,101.91383821014,100.289332584662,100.599899836591,8686100,88.964035,NA,NA,NA
"197",1999-10-13,99.9070959669023,100.384891739102,97.9959128781045,97.9959128781045,10469300,86.661263,NA,NA,NA
"198",1999-10-14,98.2228658698993,98.7603861136237,96.8969826020459,97.9720230894946,10562200,86.640099,NA,NA,NA
"199",1999-10-15,96.3236276754065,96.8969826020459,95.1769178221279,95.4635952854475,14238700,84.421844,NA,NA,NA
"200",1999-10-18,95.5113748626675,96.2758480981866,94.3646650093888,96.1563991551367,9758800,85.034492,99.8732487195942,NA,NA
"201",1999-10-19,97.2314396425854,98.0436924553245,96.2758480981866,97.0881009109256,14392900,85.858444,99.8922822159771,NA,NA
"202",1999-10-20,97.661455837565,98.9753942111134,97.1836600653655,98.0436924553245,9759400,86.703476,99.9107626273165,NA,NA
"203",1999-10-21,97.2553294311954,98.6170473819638,96.801423447606,98.6170473819638,9105400,87.210526,99.920736922056,NA,NA
"204",1999-10-22,99.1904023086032,100.313222373272,99.0470635769433,99.4531899833128,8309600,87.949959,99.9372612821425,NA,NA
"205",1999-10-25,98.8559452680636,99.7398674466325,98.425929073084,98.9515044225034,8114300,87.506302,99.9477231859146,NA,NA
"206",1999-10-26,99.5248593491428,99.9070959669023,97.7092354147849,97.7092354147849,6256300,86.407745,99.9565939817116,NA,NA
"207",1999-10-27,98.1392516097644,99.6204185035826,98.0436924553245,99.4770797719228,5433300,87.971092,99.982952135336,NA,NA
"208",1999-10-28,101.244924129061,103.096382746334,101.053805820181,102.869429754539,10509700,90.971069,100.02958913215,1,NA
"209",1999-10-29,103.848911087548,105.258408615536,103.753351933108,104.732833266117,10988600,92.618927,100.093717412095,NA,NA
"210",1999-11-01,104.350596648357,104.732833266117,103.633902990058,103.633902990058,4006500,91.647148,100.140385811342,NA,NA
"211",1999-11-02,103.944470241988,104.923951574996,102.893319543149,102.893319543149,6516900,90.99218,100.180271135313,NA,NA
"212",1999-11-03,103.968360030598,104.255037493917,103.299445949518,103.586123412838,7222300,91.604843,100.219829514887,NA,NA
"213",1999-11-04,104.541714957237,105.007565835131,103.789186616023,104.374486436967,7907500,92.302086,100.276005744602,NA,NA
"214",1999-11-05,105.975102273835,106.34539399729,104.565604745847,105.401747347196,7431500,93.210533,100.338384487422,NA,NA
"215",1999-11-08,104.732833266117,105.783983964955,104.541714957237,105.497306501636,4649200,93.295006,100.396502321333,NA,NA
"216",1999-11-09,105.879543119395,106.022881851055,104.183368128087,104.505880274322,4533700,92.418236,100.441133355683,NA,NA
"217",1999-11-10,104.159478339477,105.79592885926,104.028084502122,105.282298404146,6405600,93.104813,100.495214458681,NA,NA
"218",1999-11-11,105.640645233296,105.879543119395,105.091180095266,105.879543119395,4794100,93.633018,100.544344454916,NA,NA
"219",1999-11-12,106.452898046035,107.014308078369,104.828392420556,106.835134663794,11802900,94.47805,100.594579912746,NA,NA
"220",1999-11-15,106.906804029624,107.217371281554,106.572346989084,107.085977444199,2187500,94.699913,100.648912807285,NA,NA
"221",1999-11-16,107.456269167653,109.319672679231,107.097922338504,107.981844517073,7544800,95.492149,100.710686727615,NA,NA
"222",1999-11-17,108.746317752592,109.271893102011,108.029624094293,108.268521980392,9459000,95.745651,100.769036862964,NA,NA
"223",1999-11-18,108.889656484252,109.319672679231,108.268521980392,109.032995215912,4491000,96.421722,100.838435889128,NA,NA
"224",1999-11-19,108.865766695642,109.295782890621,108.555199443712,108.937436061472,4832100,96.337219,100.912806629902,NA,NA
"225",1999-11-22,108.889656484252,109.319672679231,108.172962825953,108.913546272862,4155400,96.316101,100.986110180797,NA,NA
